country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","15-02-2026 11:00:00",26.63086,84.90051,NO2,4,11,7
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","15-02-2026 11:00:00",26.63086,84.90051,OZONE,3,8,3
India,Bihar,Munger,"Town Hall, Munger - BSPCB","15-02-2026 11:00:00",25.376776,86.471523,SO2,25,31,30
India,Bihar,Munger,"Town Hall, Munger - BSPCB","15-02-2026 11:00:00",25.376776,86.471523,OZONE,8,11,10
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","15-02-2026 11:00:00",26.11442,85.39813,PM2.5,74,177,120
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","15-02-2026 11:00:00",26.11442,85.39813,SO2,1,7,4
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","15-02-2026 11:00:00",13.615387,79.409230,OZONE,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","15-02-2026 11:00:00",16.536107,80.594233,NH3,3,3,3
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","15-02-2026 11:00:00",16.536107,80.594233,SO2,17,17,17
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","15-02-2026 11:00:00",16.486692,80.699436,CO,38,49,40
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","15-02-2026 11:00:00",16.509717,80.612222,PM2.5,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","15-02-2026 11:00:00",16.509717,80.612222,PM10,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","15-02-2026 11:00:00",16.509717,80.612222,CO,39,39,39
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","15-02-2026 11:00:00",16.509717,80.612222,OZONE,8,56,14
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","15-02-2026 11:00:00",16.554731,80.649110,PM2.5,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","15-02-2026 11:00:00",16.554731,80.649110,NH3,NA,NA,NA
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","15-02-2026 11:00:00",27.103358,93.679645,PM10,76,315,146
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","15-02-2026 11:00:00",24.75746,84.366208,CO,100,103,102
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","15-02-2026 11:00:00",25.42742023,86.13886079,PM10,48,125,76
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","15-02-2026 11:00:00",25.42742023,86.13886079,SO2,23,27,25
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","15-02-2026 11:00:00",25.251013,86.989001,SO2,31,74,52
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","15-02-2026 11:00:00",25.265194,87.012947,NO2,7,8,7
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","15-02-2026 11:00:00",25.265194,87.012947,SO2,43,64,53
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","15-02-2026 11:00:00",25.265194,87.012947,OZONE,17,32,21
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","15-02-2026 11:00:00",25.204762,85.514960,SO2,10,10,10
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","15-02-2026 11:00:00",25.204762,85.514960,CO,50,73,56
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","15-02-2026 11:00:00",26.11442,85.39813,CO,22,54,30
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","15-02-2026 11:00:00",26.1209,85.3647,PM2.5,77,93,84
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","15-02-2026 11:00:00",25.586562,85.043586,NH3,4,6,5
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","15-02-2026 11:00:00",25.586562,85.043586,OZONE,8,35,11
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","15-02-2026 11:00:00",25.592539,85.227158,PM2.5,55,200,135
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","15-02-2026 11:00:00",25.610369,85.132568,PM2.5,50,157,98
India,Bihar,Patna,"Muradpur, Patna - BSPCB","15-02-2026 11:00:00",25.619651,85.147382,SO2,8,10,9
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","15-02-2026 11:00:00",25.567520,83.966379,SO2,NA,NA,NA
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","15-02-2026 11:00:00",25.567520,83.966379,CO,23,28,25
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","15-02-2026 11:00:00",25.7808257,84.7446768,PM10,36,139,83
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","15-02-2026 11:00:00",24.792403,84.992416,PM2.5,28,210,77
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","15-02-2026 11:00:00",24.792403,84.992416,NO2,NA,NA,NA
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","15-02-2026 11:00:00",24.792403,84.992416,CO,NA,NA,NA
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","15-02-2026 11:00:00",24.792403,84.992416,OZONE,16,27,23
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","15-02-2026 11:00:00",26.987634,94.636574,PM2.5,45,99,71
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","15-02-2026 11:00:00",26.987634,94.636574,SO2,11,15,13
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","15-02-2026 11:00:00",26.146529,87.454184,SO2,17,64,40
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","15-02-2026 11:00:00",24.75746,84.366208,NO2,7,8,8
